country_name,country_code,region,income_group,year,cpi,int_rate,gdp_ growth_rate,gdp,exchange_rate,unemployment_rate
Germany,DEU,Europe & Central Asia,High income,2000,1.440268387,0,2.877245956,2884562511081.11,1.082705081,7.917
Djibouti,DJI,Middle East & North Africa,Lower middle income,2000,0,0,0,0.00,177.721,26.664
Dominica,DMA,Latin America & Caribbean,Upper middle income,2000,0,13.70790617,2.340219321,471328101.67,2.7,0
Denmark,DNK,Europe & Central Asia,High income,2000,2.903282032,0,3.724008995,263066798869.21,8.083144167,4.476
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2000,7.724135662,18.26289782,4.651725503,35393522990.41,16.18145768,6.432
Algeria,DZA,Middle East & North Africa,Upper middle income,2000,0,-10.334378,3.800000002,109811551032.43,75.25979167,29.77
East Asia & Pacific (excluding high income),EAP,Combined,Not classified,2000,0,0,7.728795371,3878849413057.97,0,3.423303793
Early-demographic dividend,EAR,Combined,Not classified,2000,0,0,4.371125418,5469487247839.19,0,7.114722497
East Asia & Pacific,EAS,Combined,Not classified,2000,0,0,5.438450954,10328138088341.60,0,3.554208286
Europe & Central Asia (excluding high income),ECA,Combined,Not classified,2000,0,0,6.779109989,705979031426.89,0,10.74844833
Europe & Central Asia,ECS,Combined,Not classified,2000,3.118136581,0,4.381298626,15966557247349.50,0,9.689920081
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2000,96.09637569,0,1.091801647,50165491738.88,1,4.8
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,0,8.919600971,6.37000383,179683172290.03,3.47205,8.98
Euro area,EMU,Combined,Not classified,2000,2.853030393,0,3.901856922,10050398201808.50,1.082705081,9.472242219
Eritrea,ERI,Sub-Saharan Africa,Low income,2000,0,0,-3.141985903,1899038769.45,9.625,5.608
Spain,ESP,Europe & Central Asia,High income,2000,3.433515634,0,5.200641256,977964704474.03,1.082705081,13.785
Estonia,EST,Europe & Central Asia,High income,2000,4.018489525,0,10.08763858,13979307068.90,16.96863667,13.36
Ethiopia,ETH,Sub-Saharan Africa,Not classified,2000,0,3.831148609,6.07321748,17352574603.76,8.217258333,3.5
European Union,EUU,Combined,Not classified,2000,3.042100807,0,3.933976003,11318629440005.90,0,9.706491198
Fragile and conflict affected situations,FCS,Combined,Not classified,2000,0,0,5.426591669,848563487595.18,0,5.888132243
Finland,FIN,Europe & Central Asia,High income,2000,3.042100807,0,5.753737705,196036503503.62,1.082705081,11.134
Fiji,FJI,East Asia & Pacific,Upper middle income,2000,0,13.76716679,-1.699998416,3330747234.59,2.128625,4.7
France,FRA,Europe & Central Asia,High income,2000,1.675959887,0,4.140999964,2025858476151.37,1.082705081,10.218
Faroe Islands,FRO,Europe & Central Asia,High income,2000,0,0,0,0.00,8.083144167,0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2000,2.158518106,14.09897903,4.833903786,310899125.00,1,0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2000,0,0,-1.882966398,9689372094.83,710.207977,17.789
United Kingdom,GBR,Europe & Central Asia,High income,2000,1.182956242,4.788497156,4.341634193,2292208338883.96,0.660930833,5.558
Georgia,GEO,Europe & Central Asia,Upper middle income,2000,0,0,1.840381179,6365211520.66,1.976166667,10.82
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2000,40.24093312,0,3.700000082,20074507180.66,0.544919176,10.456
Gibraltar,GIB,Europe & Central Asia,High income,2000,0,0,0,0.00,0.660930833,0
Guinea,GIN,Sub-Saharan Africa,Lower middle income,2000,0,12.29996312,2.503060563,5176459579.46,1746.869917,4.599
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2000,0,21.31056585,5.500000216,960226283.31,12.7876251,9.787
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2000,0,0,1.100278158,705153195.40,710.207977,3.557
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2000,0,0,18.21377996,2699948863.56,710.207977,7.955
Greece,GRC,Europe & Central Asia,High income,2000,3.151181625,0,4.137826994,194535950663.83,365.3985608,11.345
Grenada,GRD,Latin America & Caribbean,Upper middle income,2000,0,8.493010372,4.887952137,717463922.03,2.7,0
Greenland,GRL,Europe & Central Asia,High income,2000,0,0,7.101596882,1776741578.35,8.083144167,0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2000,0,13.15317506,3.608868717,37033784161.05,7.763159167,2.606
Guam,GUM,East Asia & Pacific,High income,2000,0,0,0,0.00,1,15.32
Guyana,GUY,Latin America & Caribbean,High income,2000,0,10.05349534,-1.363803903,2875468427.08,182.43,11.93
High income,HIC,Combined,Not classified,2000,0,0,4.261059148,37875074397758.50,0,7.027629655
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2000,0,13.10999825,7.663408266,179510195164.43,7.791166667,4.92
Honduras,HND,Latin America & Caribbean,Lower middle income,2000,0,17.43690983,7.291288159,11770779974.66,14.840625,3.881
